From,To,Train,Start Time,End Time
Sligo,Boyle,101,05:40,06:12
Sligo,Boyle,102,06:40,07:13
Sligo,Boyle,103,09:05,09:37
Sligo,Boyle,104,11:05,11:37
Sligo,Boyle,105,13:05,13:37
Sligo,Boyle,106,15:05,15:37
Sligo,Boyle,107,17:05,17:37
Sligo,Boyle,108,19:05,19:42
Boyle,Carrick on Shannon,101,06:13,06:22
Boyle,Carrick on Shannon,102,07:14,07:24
Boyle,Carrick on Shannon,103,09:38,09:49
Boyle,Carrick on Shannon,104,11:38,11:49
Boyle,Carrick on Shannon,105,13:38,13:49
Boyle,Carrick on Shannon,106,15:38,15:49
Boyle,Carrick on Shannon,107,17:38,17:49
Boyle,Carrick on Shannon,108,19:43,19:53
Carrick on Shannon,Dromod,101,06:24,06:33
Carrick on Shannon,Dromod,102,07:26,07:36
Carrick on Shannon,Dromod,103,09:51,10:02
Carrick on Shannon,Dromod,104,11:51,12:02
Carrick on Shannon,Dromod,105,13:51,14:02
Carrick on Shannon,Dromod,106,15:51,16:02
Carrick on Shannon,Dromod,107,17:51,18:05
Carrick on Shannon,Dromod,108,19:55,20:05
Dromod,Longford,101,06:35,06:48
Dromod,Longford,102,07:38,07:49
Dromod,Longford,103,10:04,10:15
Dromod,Longford,104,12:04,12:15
Dromod,Longford,105,14:04,14:15
Dromod,Longford,106,16:04,16:15
Dromod,Longford,107,18:07,18:21
Dromod,Longford,108,20:07,20:18
Longford,Edgeworthstown,101,06:50,07:00
Longford,Edgeworthstown,102,07:51,08:02
Longford,Edgeworthstown,103,10:17,10:37
Longford,Edgeworthstown,104,12:17,12:38
Longford,Edgeworthstown,105,14:17,14:38
Longford,Edgeworthstown,106,16:17,16:38
Longford,Edgeworthstown,107,18:23,18:45
Longford,Edgeworthstown,108,20:20,20:30
Longford,Edgeworthstown,121,05:38,05:49
Longford,Edgeworthstown,122,06:12,06:23
Edgeworthstown,Mullingar,101,07:01,07:18
Edgeworthstown,Mullingar,102,08:03,08:21
Edgeworthstown,Mullingar,103,10:39,10:56
Edgeworthstown,Mullingar,104,12:39,12:56
Edgeworthstown,Mullingar,105,14:39,14:56
Edgeworthstown,Mullingar,106,16:39,16:56
Edgeworthstown,Mullingar,107,18:46,19:03
Edgeworthstown,Mullingar,108,20:31,20:50
Edgeworthstown,Mullingar,121,05:50,06:08
Edgeworthstown,Mullingar,122,06:24,06:42
Mullingar,Enfield,101,07:20,07:44
Mullingar,Enfield,102,08:22,08:46
Mullingar,Enfield,103,10:58,11:22
Mullingar,Enfield,104,12:58,13:21
Mullingar,Enfield,105,14:58,15:22
Mullingar,Enfield,108,20:52,21:16
Mullingar,Enfield,121,06:10,06:34
Mullingar,Enfield,122,06:44,07:09
Enfield,Kilcock,101,07:49,07:59
Enfield,Kilcock,102,08:47,08:56
Enfield,Kilcock,103,11:23,11:32
Enfield,Kilcock,104,13:22,13:31
Enfield,Kilcock,105,15:23,15:32
Enfield,Kilcock,106,17:29,17:38
