ID,From,To,Departs,Arrives,Dwell,Distance
101,Sligo,Collooney,05:40,05:48,60,16393.84647
101,Collooney,Ballymote,05:49,05:58,60,18909.48764
101,Ballymote,Boyle,05:59,06:12,60,33184.4399
101,Boyle,Carrick-on-Shannon,06:13,06:23,60,22700.81019
101,Carrick-on-Shannon,Dromod,06:24,06:34,60,25953.33147
101,Dromod,Longford,06:35,06:49,60,28749.11702
101,Longford,Edgeworthstown,06:50,07:00,60,22484.06401
101,Edgeworthstown,Mullingar,07:01,07:19,60,42317.80757
101,Mullingar,Enfield,07:20,07:48,60,60352.18637
101,Enfield,Kilcock,07:49,07:59,60,18611.00298
101,Kilcock,Maynooth,08:00,08:11,60,9585.828893
101,Maynooth,Broombridge,08:12,08:34,60,32532.05846
101,Broombridge,Drumcondra,08:35,08:42,60,4878.186797
101,Drumcondra,Dublin Connolly,08:43,08:49,60,2124.592398
102,Sligo,Collooney,06:40,06:48,60,16393.84647
102,Collooney,Ballymote,06:49,06:57,60,18909.48764
102,Ballymote,Boyle,06:58,07:13,60,33184.4399
102,Boyle,Carrick-on-Shannon,07:14,07:25,60,22700.81019
102,Carrick-on-Shannon,Dromod,07:26,07:37,60,25953.33147
102,Dromod,Longford,07:38,07:50,60,28749.11702
102,Longford,Edgeworthstown,07:51,08:02,60,22484.06401
102,Edgeworthstown,Mullingar,08:03,08:21,60,42317.80757
102,Mullingar,Enfield,08:22,08:46,60,60352.18637
102,Enfield,Kilcock,08:47,08:56,60,18611.00298
102,Kilcock,Maynooth,08:57,09:04,60,9585.828893
102,Maynooth,Broombridge,09:05,09:23,60,32532.05846
102,Broombridge,Drumcondra,09:24,09:29,60,4878.186797
102,Drumcondra,Dublin Connolly,09:30,09:40,60,2124.592398
103,Sligo,Collooney,09:05,09:13,60,16393.84647
103,Collooney,Ballymote,09:14,09:22,60,18909.48764
103,Ballymote,Boyle,09:23,09:37,60,33184.4399
103,Boyle,Carrick-on-Shannon,09:38,09:50,60,22700.81019
103,Carrick-on-Shannon,Dromod,09:51,10:03,60,25953.33147
103,Dromod,Longford,10:04,10:16,60,28749.11702
103,Longford,Edgeworthstown,10:17,10:38,60,22484.06401
103,Edgeworthstown,Mullingar,10:39,10:57,60,42317.80757
103,Mullingar,Enfield,10:58,11:22,60,60352.18637
103,Enfield,Kilcock,11:23,11:32,60,18611.00298
103,Kilcock,Maynooth,11:33,11:39,60,9585.828893
103,Maynooth,Broombridge,11:40,11:58,60,32532.05846
103,Broombridge,Drumcondra,11:59,12:03,60,4878.186797
103,Drumcondra,Dublin Connolly,12:04,12:09,60,2124.592398
104,Sligo,Collooney,11:05,11:13,60,16393.84647
104,Collooney,Ballymote,11:14,11:22,60,18909.48764
104,Ballymote,Boyle,11:23,11:37,60,33184.4399
104,Boyle,Carrick-on-Shannon,11:38,11:50,60,22700.81019
104,Carrick-on-Shannon,Dromod,11:51,12:03,60,25953.33147
104,Dromod,Longford,12:04,12:16,60,28749.11702
104,Longford,Edgeworthstown,12:17,12:38,60,22484.06401
104,Edgeworthstown,Mullingar,12:39,12:57,60,42317.80757
104,Mullingar,Enfield,12:58,13:21,60,60352.18637
104,Enfield,Kilcock,13:22,13:31,60,18611.00298
104,Kilcock,Maynooth,13:32,13:39,60,9585.828893
104,Maynooth,Broombridge,13:40,13:58,60,32532.05846
104,Broombridge,Drumcondra,13:59,14:03,60,4878.186797
104,Drumcondra,Dublin Connolly,14:04,14:09,60,2124.592398
105,Sligo,Collooney,13:05,13:13,60,16393.84647
105,Collooney,Ballymote,13:14,13:22,60,18909.48764
105,Ballymote,Boyle,13:23,13:37,60,33184.4399
105,Boyle,Carrick-on-Shannon,13:38,13:50,60,22700.81019
105,Carrick-on-Shannon,Dromod,13:51,14:03,60,25953.33147
105,Dromod,Longford,14:04,14:16,60,28749.11702
105,Longford,Edgeworthstown,14:17,14:38,60,22484.06401
105,Edgeworthstown,Mullingar,14:39,14:57,60,42317.80757
105,Mullingar,Enfield,14:58,15:22,60,60352.18637
105,Enfield,Kilcock,15:23,15:32,60,18611.00298
105,Kilcock,Maynooth,15:33,15:41,60,9585.828893
